"PAPIROVA_NZ(od 2011)";"TEXT";"PDF";"CD";"PRIR_CISLO";"ROK_Z";"ROK_K";"KATASTR";"OKRES";"AUTOR_ZAA";"VEDOUCI";"TYP_ZPR_PUV";"LOKALITA"
;0;0;0;"TX201101944";2010;2010;"MORAVSKİ LAÈNOV";"SY";"Košál J.";"Košál J.";"RZ";
;0;0;0;"TX201101823";2010;2010;"NAHOØANY NAD METUJÍ";"NA";"Kuchaøík M.";"Kuchaøík M.";"RZ";
;1;0;0;"TX201005208";0;2009;"NÁCHOD";"NA";"Forró J.";"Kuchaøík M.";"NZ";"Ulice Tyršova, Zámecká p.è. 201/1, 201/2, st.p.è. 62, 3892"
"ne";0;0;1;"TX201502021";0;2009;"NÁCHOD";"NA";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Dokumentace statickıch sond a IGP vrtù u è.p. 247, stavba v areálu hradebního pøíkopu poblí Hradecké brány."
;0;0;0;"TX201101827";2010;2010;"NÁCHOD";"NA";"Kuchaøík M.";"Kuchaøík M.";"RZ";"Masarykovo námìstí, kostel sv. Vavøince."
;0;0;0;"TX201101826";2010;2010;"NÁCHOD";"NA";"Kuchaøík M.";"Kuchaøík M.";"RZ";"Tyršova ulice, èp. 247, Základní umìlecká škola."
;0;0;0;"TX201101825";2010;2010;"NÁCHOD";"NA";"Košál J.";"Košál J.";"RZ";"Masarykovo námìstí, ppè. 1919/5."
"ano";1;0;1;"TX201502008";0;2010;"NÁCHOD";"NA";"Kuchaøík M.";"Novák R.";"NZ";"Ul. Zámecká, rozšíøení parkovištì u è.p. 1845."
"ano";1;0;1;"TX201501982";0;2010;"NÁCHOD";"NA";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Kostel sv. Vavøince, rekonstrukce podlahy v presbytáøi, èásteènı vıkliz zásypu kleneb nad hlavní lodí."
"ano";1;0;1;"TX201501985";0;2008;"NOVİ BYDOV";"HK";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Rekonstrukce ulic Kl. Klicpery, Jana iky."
;0;0;0;"TX201007063";2009;2009;"NOVİ BYDOV";"HK";"Kuchaøík M.";"Kuchaøík, M.";"RZ";"ul. V. Vl. Klicpery a Jana iky, na pozemcích p.è. 2574 a 2572/3"
;0;0;0;"TX201007074";2009;2009;"PILNÍKOV I";"TU";"Kuchaøík M.";"Kuchaøík, M.";"RZ";"parc. è. 215/1, 1200/1"
"ano";1;0;1;"TX201501994";0;2011;"POHØEBAÈKA";"PA";"Kutílková P. (Kohoutová)";"Kutílková P. (Kohoutová)";"NZ";"Vıkopy pro kNN v celé obci."
;1;0;0;"TX200807499";0;2008;"PRAHA - BUBENEÈ";"P6";"Maèková M.";"Kvietok M.";"NZ";"ul.Dr.Z.Wintera ppè.760,2050"
;1;0;1;"TX200903550";0;2008;"PRAHA - BUBENEÈ";"P6";"Maèková M.";"Kvietok M.";"NZ";"ul.Dr.Z.Wintera ppè.760,2050"
;1;0;1;"TX200912506";0;2009;"PRAHA - BUBENEÈ";"P6";"Maèková M.";"Kvietok M.";"NZ";"Rooseveltova èp.831/14"
;0;0;0;"TX201101838";2010;2010;"PRAHA - BUBENEÈ";"P6";"Vávra J.";"Vávra J.";"RZ";"Charlese de Gaulla, ppè. 1377, 1378, 2105."
;0;1;0;"TX200712512";2006;2007;"PRAHA - ÈAKOVICE";"P9";"Maèková M.";"Kuchaøík";"RZ,NZ";"ppè.1292/15"
;0;0;0;"TX200803911";2006;2007;"PRAHA - ÈAKOVICE";"P9";"Maèková M.";"Kuchaøík";"RZ";"Schöllerova ul.ppè.1292/15"
"ne";0;0;1;"TX201502023";0;2011;"PRAHA - ÈIMICE";"P8";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Novostavba bytového domu Nad Èimickım údolím."
"ano";1;0;1;"TX201501980";0;2006;"PRAHA - ÏÁBLICE";"P8";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Ul. Hoøínecká, p.p.è. 608/26,28,30,31, neohlášená vıstavba bytového domu."
;0;0;0;"TX200803913";0;2007;"PRAHA - ÏÁBLICE";"P9";"Maèková M.";"Kuchaøík";"RZ";"BD Hoøínecká"
;1;1;1;"TX201000476";0;2009;"PRAHA - ÏÁBLICE";"P8";"Forró J.";"Kvietok M.";"NZ";"ul.Legionáøù,ppè.234/2,4,5,6"
;0;0;0;"TX200803917";0;2007;"PRAHA - DEJVICE";"P6";"Maèková M.";"Kuchaøík";"RZ";"Matìjská ul.ppè.2519/2,5"
;0;0;0;"TX200803919";0;2007;"PRAHA - DEJVICE";"P6";"Maèková M.";"Kuchaøík";"RZ";"sladovny"
"ano";1;0;1;"TX201501981";0;2007;"PRAHA - DEJVICE";"P6";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Ul. Matìjská, p.p.è. 2519/2,5,10,167, vıstavba bytového domu."
;0;0;0;"TX200904311";2007;2008;"PRAHA - DEJVICE";"P6";"Kuchaøík M.";"Kuchaøík";"RZ";"sladovny"
"ano";1;0;1;"TX201501978";0;2006;"PRAHA - DOLNÍ CHABRY";"P8";"Kuchaøík M.";"Kuchaøík M.";"NZ";"P.p.è. 1233/26, vıstavba rodinného domu."
;0;0;0;"TX200707500";2006;2007;"PRAHA - DOLNÍ CHABRY";"P8";"Hricáková J.";"Kuchaøík";"RZ";"ïárská ul."
;0;0;0;"TX200803926";0;2007;"PRAHA - DOLNÍ CHABRY";"P8";"Maèková M.";"Vávra";"RZ";"Hrušovanské nám.ppè.534/1"
;1;0;1;"TX200910688";0;2007;"PRAHA - DOLNÍ CHABRY";"P8";"Maèková M.";"Vávra J.";"NZ";"Dvoøákova ul.ppè.1372/186"
;0;0;0;"TX200803924";0;2007;"PRAHA - DOLNÍ CHABRY";"P8";"Maèková M.";"Horák";"RZ";"Dvoøákova ul.1372/186"
;1;0;1;"TX200800939";0;2007;"PRAHA - DOLNÍ CHABRY";"P8";"Maèková M.";"Vávra J.";"NZ";"Hrušovanské nám.èp.253/5"
"ano";1;0;1;"TX201502010";0;2007;"PRAHA - DOLNÍ CHABRY";"P8";"Kuchaøík M.";"Vávra J.";"NZ";"Ul. Dvoøákova, p.p.è. 1372/186, stavba rodinného domu."
;0;0;0;"TX200803928";2007;2008;"PRAHA - DOLNÍ CHABRY";"P8";"Maèková M.";"Kuchaøík";"RZ";"ul.ïárská ppè.1233/26"
;0;0;0;"TX201101844";2010;2010;"PRAHA - DOLNÍ CHABRY";"P8";"Vávra J.";"Vávra J.";"RZ";"Libochovická, ppè. 1372/221."
;0;0;0;"TX201101849";2010;2010;"PRAHA - DOLNÍ CHABRY";"P8";"Kuchaøík M.";"Kuchaøík M.";"RZ";"Do Rybníèkù."
;0;0;0;"TX200707501";0;2006;"PRAHA - HLOUBÌTÍN";"P9";"Hricáková J.";"Kuchaøík";"RZ";"Nad Rajskou zahradou"
;0;0;0;"TX200803929";2006;2007;"PRAHA - HLOUBÌTÍN";"P9";"Maèková M.";"Kuchaøík";"RZ";"ul.U Elektry ppè.1651/1,2,3,4,5,6"
;1;0;1;"TX200905128";2006;2007;"PRAHA - HLOUBÌTÍN";"P9";"Maèková M.";"Hušák P.";"NZ";"ul.U Elektry"
;0;0;0;"TX200707502";2006;2007;"PRAHA - HLOUBÌTÍN";"P9";"Hricáková J.";"Kuchaøík";"RZ";"ul.U Elektry"
;0;0;0;"TX200803931";2007;2008;"PRAHA - HLOUBÌTÍN";"P9";"Maèková M.";"Hušták";"RZ";"ul.K Náhonu"
;1;0;1;"TX200811282";2007;2008;"PRAHA - HLOUBÌTÍN";"P9";"Maèková M.";"Hušák P.";"NZ";"ul.K náhonu ppè.1757,1762/1"
;0;0;0;"TX201101851";2010;2010;"PRAHA - HLOUBÌTÍN";"P9";"Kuchaøík M.";"Kuchaøík M.";"RZ";"Nademlejnská."
;1;0;0;"TX200802517";0;2007;"PRAHA - HOLEŠOVICE";"P7";"Maèková M.";"Horák J.";"NZ";"Národní technické muzeum"
;0;0;0;"TX200904321";2007;2008;"PRAHA - HOLEŠOVICE";"P7";"Horák J.";"Horák";"RZ";"Kostelní 42"
;0;0;1;"TX200914752";0;2009;"PRAHA - HORNÍ POÈERNICE";"P9";"Maèková M.";"Kvietok M.";"NZ";"ppè.4364/3,4363/4"
;0;0;0;"TX201007097";2009;2009;"PRAHA - HORNÍ POÈERNICE";"P9";"Kuchaøík M.";"Kvietok, M.";"RZ";"ul. Veverkovıch, Pod Starákem"
;0;0;0;"TX200803935";0;2007;"PRAHA - JINONICE";"P5";"Maèková M.";"Horák";"RZ";"ul.Butovická"
;0;0;0;"TX200803936";0;2007;"PRAHA - JINONICE";"P5";"Maèková M.";"Horák";"RZ";"Pod Vavøincem 749/7a"
;1;1;1;"TX201001332";0;2007;"PRAHA - JINONICE";"P5";"Forró J.";"Horák J.";"NZ";"Butovická ppè.722/7,22,23"
"ano";1;0;1;"TX201502016";0;2007;"PRAHA - JINONICE";"P5";"Kuchaøík M.";"Horák J.";"NZ";"Ul. Butovická, p.p.è. 722/13, stavba rodinného domu."
;0;0;0;"TX200904324";0;2008;"PRAHA - JINONICE";"P5";"Maèková M.";"Kvietok";"RZ";"Radlická a Novoveská ul."
;1;0;1;"TX200902799";0;2008;"PRAHA - JINONICE";"P5";"Maèková M.";"Horák J.";"NZ";"ul.Pekaøská ppè.1342/1,1342/26"
;0;0;0;"TX201101863";2010;2010;"PRAHA - JINONICE";"P5";"Horák J.";"Horák J.";"RZ";"Radlická."
;0;0;0;"TX200707504";2006;2007;"PRAHA - KARLÍN";"P8";"Hricáková J.";"Kuchaøík";"RZ";"Køiíkova ul."
;0;1;0;"TX200711497";0;2007;"PRAHA - KARLÍN";"P8";"Kuchaøík M.";"Kuchaøík";"RZ,NZ";"Corso II"
;0;0;0;"TX201101870";2010;2010;"PRAHA - KBELY";"P9";"Vávra J.";"Vávra J.";"RZ";"Albrechtická, ppè. 250, 251/3."
;1;0;0;"TX200709499";0;2007;"PRAHA - KOBYLISY";"P8";"Hricáková J.";"Hušák";"RZ,NZ";"Vršní ppè.1802/1"
;0;0;0;"TX200803941";0;2007;"PRAHA - KOBYLISY";"P8";"Maèková M.";"Hušták";"RZ";"Vršní ppè.621/1,2....."
;0;1;0;"TX200711498";0;2007;"PRAHA - KOBYLISY";"P8";"Hušták P.";"Hušák";"RZ,NZ";"ul.V Brance ppè.614"
;0;0;0;"TX200803945";0;2007;"PRAHA - KOBYLISY";"P8";"Maèková M.";"Hušták";"RZ";"ul.V Brance ppè.627/1"
;0;0;0;"TX200707505";0;2006;"PRAHA - KYJE";"P9";"Hricáková J.";"Kuchaøík";"RZ";"Prelátská ul."
;0;1;0;"TX200711499";0;2006;"PRAHA - KYJE";"P9";"Kuchaøík M.";"Kuchaøík";"RZ,NZ";"fara"
;1;0;0;"TX200810755";0;2008;"PRAHA - KYJE";"P9";"Maèková M.";"Kvietok M.";"NZ";"""Panorama Kyje"""
;1;0;0;"TX200810756";0;2008;"PRAHA - KYJE";"P9";"Maèková M.";"Kvietok M.";"NZ";"""Panorama Kyje"""
;0;0;0;"TX200707506";0;2006;"PRAHA - LYSOLAJE";"P6";"Hricáková J.";"Kuchaøík";"RZ";"Mateøská ul."
"ano";1;0;1;"TX201501979";0;2007;"PRAHA - LYSOLAJE";"P6";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Ul. Mateøská, p.p.è. 2, 4, 5, vıstavba nové budovy mateøské školy."
;0;0;0;"TX200803950";0;2007;"PRAHA - MOTOL";"P5";"Maèková M.";"Horák";"RZ";"FN Motol"
;1;0;0;"TX200813492";0;2008;"PRAHA - MOTOL";"P5";"Košál J.";"Košál J.";"NZ";"Plzeòská ppè.403/7-9,481"
;0;0;0;"TX200904336";0;2008;"PRAHA - MOTOL";"P5";"Košál J.";"Košál";"RZ";"Plzeòská ppè.403/7-9,481"
"ano";1;0;1;"TX201502014";0;2010;"PRAHA - RADOTÍN";"P5";"Kuchaøík M.";"Vávra J.";"NZ";"Vıstavba sloupù vysokého napìtí, p.p.è. 2499/1, 3105/1,4."
;0;1;0;"TX200710228";0;2005;"PRAHA - RUZYNÌ";"P6";"Kuchaøík M.";"Kuchaøík";"RZ,NZ";"letištì"
;0;1;0;"TX200710227";0;2005;"PRAHA - RUZYNÌ";"P6";"Kuchaøík M.";"Kuchaøík";"RZ,NZ";"""Za Poustkama"""
;1;0;0;"TX200810757";2005;2006;"PRAHA - RUZYNÌ";"P6";"Maèková M.";"Kuchaøík M.";"NZ";"""Dlouhá míle"""
;0;0;0;"TX200803953";0;2007;"PRAHA - RUZYNÌ";"P6";"Maèková M.";"Kuchaøík";"RZ";"ppè.851/2"
;1;0;0;"TX200900759";0;2008;"PRAHA - RUZYNÌ";"P6";"Maèková M.";"Horák J.";"NZ";"ul.Karlovarská"
;0;0;0;"TX200803957";2007;2008;"PRAHA - RUZYNÌ";"P6";"Maèková M.";"Kuchaøík";"RZ";"ppè.1252"
;0;0;0;"TX200904349";0;2008;"PRAHA - RUZYNÌ";"P6";"Horák J.";"Horák";"RZ";"Drnovská ul."
"ne";0;0;1;"TX201502022";0;2008;"PRAHA - RUZYNÌ";"P6";"Kuchaøík M.";"Hušák P.";"NZ";"Pøi ul. Karlovarská, stavba bytového domu na místì demolované továrny."
;0;0;0;"TX200803956";2007;2008;"PRAHA - RUZYNÌ";"P6";"Maèková M.";"Hušták";"RZ";"ul.Na Hùrce"
;0;0;0;"TX200904341";0;2008;"PRAHA - RUZYNÌ";"P6";"Hušták P.";"Hušák";"RZ";"ppè.1135,1136,1151,1152"
;0;0;0;"TX200904343";0;2008;"PRAHA - RUZYNÌ";"P6";"Kvietok M.";"Kvietok";"RZ";"ppè.1117/1"
"ano";1;0;1;"TX201501986";2007;2008;"PRAHA - RUZYNÌ";"P6";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Ul. Ztracená, p.p.è. 1252, novostavba budovy Státní rostlinolékaøské správy."
;0;0;0;"TX200904350";0;2008;"PRAHA - RUZYNÌ";"P6";"Horák J.";"Horák";"RZ";"Karlovarská ul."
;0;0;0;"TX200904347";0;2008;"PRAHA - RUZYNÌ";"P6";"Kuchaøík M.";"Kuchaøík";"RZ";"ppè.1252"
;0;0;0;"TX200904339";0;2008;"PRAHA - RUZYNÌ";"P6";"Hušták P.";"Hušák";"RZ";"ul.Na Hùrce"
"ano";1;0;1;"TX201502012";0;2009;"PRAHA - RUZYNÌ";"P6";"Kuchaøík M.";"Vávra J.";"NZ";"Ul. Za Humny 761/1, pøístavba, nástavba a stavební úpravy rodinného domu."
;0;0;0;"TX201007117";2009;2009;"PRAHA - RUZYNÌ";"P6";"Vávra, J.";"Vávra, J.";"RZ";"ul. za Humny"
;0;0;0;"TX201007119";2009;2009;"PRAHA - RUZYNÌ";"P6";"Vávra, J.";"Vávra, J.";"RZ";"Manská zahrada, parc. è. 851/22"
"ano";1;0;1;"TX201502013";0;2009;"PRAHA - RUZYNÌ";"P6";"Kuchaøík M.";"Vávra J.";"NZ";"Ul. Rakovnická 233/13, pøístavba rodinného domu a rozšíøení samostatné garáe."
;0;0;0;"TX201007122";2008;2009;"PRAHA - RUZYNÌ";"P6";"Horák J.";"Horák, J.";"RZ";"ul. Drnovská, parc. è. 2178"
"ne";0;0;1;"TX201502024";0;2007;"PRAHA - ØEPORYJE";"P5";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Lokalita Jinoèanskı potok I, vıstavba rodinnıch domù, komunikace - 2. etapa."
;0;0;0;"TX200803959";0;2007;"PRAHA - ØEPORYJE";"P5";"Maèková M.";"Kuchaøík";"RZ";"ul.Horšovská,Ve Vıhledu"
;0;0;0;"TX200904354";2007;2008;"PRAHA - ØEPORYJE";"P5";"Kuchaøík M.";"Kuchaøík";"RZ";"Draenovská ppè.1533/14"
;0;0;0;"TX201007127";2009;2009;"PRAHA - ØEPORYJE";"P5";"Vávra, J.";"Vávra, J.";"RZ";"ul. Eichlerova"
;0;0;0;"TX201101886";2010;2010;"PRAHA - ØEPORYJE";"P5";"Vávra J.";"Vávra J.";"RZ";"Ve Vıhledu, ppè. 1531/1, 1531/9, 1531/10, 1531/11, 1532/139."
;0;0;0;"TX201101889";2010;2010;"PRAHA - ØEPORYJE";"P5";"Vávra j.";"Vávra J.";"RZ";"Muzikova, ppè.1708/5."
"ano";1;0;1;"TX201502015";0;2010;"PRAHA - ØEPORYJE";"P5";"Kuchaøík M.";"Vávra J.";"NZ";"Ul. Ve Vıhledu, stavba Jinoèanskı potok 1, II. etapa - 4 rodinné domy, p.p.è. 1531/1,9,10,11,139."
;1;0;0;"TX200900758";0;2008;"PRAHA - ØEPY";"P6";"Maèková M.";"Košál J.";"NZ";"ul.Karlovarská,bıv.servitskı konvent"
;0;0;0;"TX200803964";0;2007;"PRAHA - SEDLEC";"P6";"Maèková M.";"Kuchaøík";"RZ";"ul.V Sedlci,Pøerušená,V rokli II"
;1;0;0;"TX200812473";0;2008;"PRAHA - SEDLEC";"P6";"Maèková M.";"Kvietok M.";"NZ";"usedlost èp.7,ppè.134,135/1,135/2"
;0;0;0;"TX201101896";2010;2010;"PRAHA - SLIVENEC";"P5";"Vávra J.";"Vávra J.";"RZ";"Ppè. 1855, 3129."
;0;1;0;"TX200709498";0;2007;"PRAHA - SOBÍN";"P5";"Hricáková J.";"Vávra";"RZ,NZ";"Hrozenkovská,Hostivická ppè.230/1"
;0;0;0;"TX200803968";0;2007;"PRAHA - SOBÍN";"P5";"Maèková M.";"Vávra";"RZ";"ul.Hrozenkovská,Hostivická ppè.230/1"
;0;0;0;"TX200904369";0;2008;"PRAHA - SOBÍN";"P5";"Kvietok M.";"Kvietok";"RZ";"Hostivická ppè.234/1"
;0;0;0;"TX201007143";2008;2009;"PRAHA - SOBÍN";"P5";"Kuchaøík M.";"Kvietok, M.";"RZ";"ul. Hostivická, parc. è. 234/1"
;1;0;1;"TX200811281";0;2007;"PRAHA - STODÙLKY";"P5";"Maèková M.";"Hušák P.";"NZ";"Jáchymovská ppè.1553/1,13,16,21"
;0;0;0;"TX200803972";0;2007;"PRAHA - STODÙLKY";"P5";"Maèková M.";"Vávra";"RZ";"ppè.2910,2916,2917"
;1;0;1;"TX200908135";0;2008;"PRAHA - STODÙLKY";"P5";"Maèková M.";"Kvietok M.";"NZ";"ppè.21/22,19/4"
;1;0;0;"TX200813137";0;2008;"PRAHA - STODÙLKY";"P5";"Maèková M.";"Košál J.";"NZ";"Petrílkova ppè.2780/172,173,174"
;1;0;0;"TX200813138";0;2008;"PRAHA - STODÙLKY";"P5";"Maèková M.";"Kvietok M.";"NZ";"Sluneèné nám."
;0;0;0;"TX200904390";0;2008;"PRAHA - STODÙLKY";"P5";"Košál J.";"Košál";"RZ";"Kováøova 26,ppè.15,16/1,2171/6,2171/10,2172"
;0;0;0;"TX201007157";2009;2009;"PRAHA - STODÙLKY";"P5";"Vávra, J.";"Vávra, J.";"RZ";"západnì od Jeremiášovy ul. u stanice metra B Stodùlky"
;0;0;0;"TX201007146";2008;2009;"PRAHA - STODÙLKY";"P5";"Kuchaøík M.";"Kvietok, M.";"RZ";"ul. Mládí, parc. è. 21/22, 19/4"
;0;0;0;"TX201101909";2010;2010;"PRAHA - STODÙLKY";"P5";"Vávra J.";"Vávra J.";"RZ";"Jeremiášova, K Tøebonicùm, ppè. 155, 159, 2182, 2183, 1538/1, 1551/1-5, 1502/1-2, 1709, 1587."
;0;0;0;"TX200803983";0;2007;"PRAHA - SUCHDOL";"P6";"Maèková M.";"Kuchaøík";"RZ";"Za Sokolovnou ppè.1057/1,2"
;1;1;1;"TX201000477";0;2009;"PRAHA - SUCHDOL";"P6";"Maèková M.";"Kvietok M.";"NZ";"ppè.1582,1583"
;0;0;0;"TX201007161";2009;2009;"PRAHA - SUCHDOL";"P6";"Vávra, J.";"Vávra, J.";"RZ";"Kamıcká, parc. è. 1627/1, 1627/40"
"ano";1;0;1;"TX201502002";0;2009;"PRAHA - SUCHDOL";"P6";"Kuchaøík M.";"Kvietok M.";"NZ";"Ul. Suchdolská, p.p.è. 1582, 1583, vıstavba bytového domu Villa Suchdol."
"ano";1;0;1;"TX201502011";2009;2010;"PRAHA - SUCHDOL";"P6";"Kuchaøík M.";"Vávra J.";"NZ";"Ul. Kamıcká 129, vıstavba Mezifakultního centra environmentálních vìd, ÈZU"
"ano";1;0;1;"TX201502017";0;2007;"PRAHA - TROJA";"P7";"Kuchaøík M.";"Hušák P.";"NZ";"Ul. Povltavská, vıstavba bytového domu na ploše bıvalé usedlosti è.p. 24"
;0;0;0;"TX200904405";2007;2008;"PRAHA - TROJA";"P7";"Kuchaøík M.";"Kuchaøík";"RZ";"ul.Povltavská"
;0;0;0;"TX201007169";2009;2009;"PRAHA - ZÁBÌHLICE";"P0";"Kuchaøík M.";"Kuchaøík, M.";"RZ";"ul Práèská, parc. è.669/12,669/13,669/17,669/24,669/29,669/49"
