"KOD";"KATASTR";"OKRES";"CIS_KU";"FSU"
"JC/KNÃéNICE  /2013/460";"LIBU“";"JC";94125;0
"JC/VOJICE    /2013/450";"PODHORNÕ ⁄JEZD";"JC";95980;0
"JN/POLUBN›   /2014/474";"PÿÕCHOVICE U KOÿENOVA";"JN";96457;0
"JN/ODOLENOVIC/2014/330";"JENIäOVICE U JABLONCE NAD NISOU";"JN";92885;0
"LI/DOLNÕ VÕTK/2014/222";"HORNÕ VÕTKOV";"LI";92178;0
"LI/PÿÕäOVICE /2014/790";"PÿEPEÿE U TURNOVA";"SM";96418;0
"LI/PÿÕäOVICE /2014/790";"éœ¡REK U SYCHROVA";"LI";99545;0
"LI/PÿÕäOVICE /2014/790";"LAéANY U SYCHROVA";"LI";93887;0
"LI/KÿIéANY   /2014/325";"éIBÿIDICE";"LI";99604;0
"LI/KÿIéANY   /2014/615";"éIBÿIDICE";"LI";99604;0
"LI/KÿIéANY   /2014/141";"éIBÿIDICE";"LI";99604;0
"LI/KÿIéANY   /2014/334";"éIBÿIDICE";"LI";99604;0
"LI/KÿIéANY   /2014/506";"éIBÿIDICE";"LI";99604;0
"LI/RYNOLTICE /2014/656";"JÕTRAVA";"LI";92990;0
"LI/RYNOLTICE /2014/656";"JÕTRAVA";"LI";92990;0
"LI/RYNOLTICE /2014/656";"LVOV¡";"CL";94421;0
"LI/DOLNÕ HANY/2014/397";"HORNÕ RŸéODOL";"LI";92139;0
"LI/BÕL› KOSTE/2014/503";"CHOTYNÃ";"LI";92637;0
"LI/BÕL› KOSTE/2014/178";"CHOTYNÃ";"LI";92637;0
"LI/BÕL› KOSTE/2014/122";"CHOTYNÃ";"LI";92637;0
"JN/BEZDÃ»ÕN U/2014/871";"JÕLOV… U HODKOVIC NAD MOHELKOU";"LI";92946;0
"JN/BEZDÃ»ÕN U/2014/871";"LAéANY U SYCHROVA";"LI";93887;0
"JN/BEZDÃ»ÕN U/2014/871";"OHRAZENICE U TURNOVA";"SM";95466;0
"LI/JANŸV DŸL /2014/979";"FRANTIäKOV U LIBERCE";"LI";91719;0
"LI/JANŸV DŸL /2014/979";"FRANTIäKOV U LIBERCE";"LI";91719;0
"JN/JISTEBSKO /2014/667";"MARäOVICE U JABLONCE NAD NISOU";"JN";94576;0
"JN/JABLONEC N/2014/793";"JABLONECK… PASEKY";"JN";92758;0
"JN/JABLONEC N/2014/876";"VRKOSLAVICE";"JN";99043;0
"PS/PÿÕäOV    /2014/392";"LEDCE U PLZNÃ";"PS";93899;0
"PA/CHVALETICE/2014/664";"TEL»ICE";"PA";98042;0
"RK/RYCHNOV NA/2014/525";"LUPENICE";"RK";94398;0
"RK/RYCHNOV NA/2014/525";"DLOUH¡ VES U RYCHNOVA NAD KNÃéNOU";"RK";91182;0
"RK/äTÃP¡NOVSK/2014/650";"ALBRECHTICE NAD ORLICÕ";"RK";90009;0
"RK/TR»KOV    /2014/836";"BEDÿICHOVKA";"RK";90099;0
"RK/VELK› UHÿÕ/2014/735";"MAL› UHÿÕNOV";"RK";94543;0
"RK/»ERN¡ VODA/2014/543";"NOV¡ VES V ORLICK›CH HOR¡CH";"RK";95314;0
"RK/VELK¡ »ERM/2014/239";"»Õ»OV¡";"RK";91041;0
"NA/SENDRAé   /2014/416";"NOV… MÃSTO NAD METUJÕ";"NA";95344;0
"NA/SENDRAé   /2014/416";"JESTÿEBÕ NAD METUJÕ";"NA";92904;0
"ST/MA»KOV    /2014/559";"BLATN¡";"ST";90277;0
"ST/MA»KOV    /2014/559";"BLATN¡";"ST";90277;0
"TC/BEZDRUéICE/2014/693";"ÿEäÕN";"TC";96914;0
"TC/SVOBODKA  /2015/550";"TACHOV";"TC";98003;0
"TC/POZORKA U /2015/807";"KLADRUBY U STÿÕBRA";"TC";93161;0
"NB/P“OV      /2012/107";"PÿEDHRADÕ";"NB";96387;0
"KO/RADIM U KO/2012/251";"DOBÿICHOV";"KO";91256;0
"RA/LUéN¡ U RA/2012/465";"RAKOVNÕK";"RA";96653;0
"BE/NOV› J¡CHY/2012/583";"HUDLICE";"BE";92435;0
"UL/KNÕNICE U /2005/977";"LIBOUCHEC";"UL";94116;0
"KL/SLAN›     /2015/402";"BLAHOTICE";"KL";90263;0
"KL/SLAN›     /2015/196";"BLAHOTICE";"KL";90263;0
"KL/VÕTOV     /2015/298";"éIéICE";"KL";99652;0
"CR/RV¡»OV U H/2015/547";"SRNÕ U HLINSKA";"CR";97387;0
"ME/ZLON»ICE  /2015/534";"CHVATÃRUBY";"ME";92734;0
"ME/VRA“ANY   /2015/433";"LUéEC NAD VLTAVOU";"ME";94409;0
"CK/LIPNO NAD /2014/975";"FRYMBURK";"CK";91728;0
"RO/ROKYCANY  /2013/890";"EJPOVICE";"RO";91694;0
"RO/EJPOVICE  /2013/460";"KYäICE";"KL";93829;0
"BE/RADOUä    /2015/642";"BEZDÃDICE U HOSTOMIC";"BE";90190;0
"BE/RADOUä    /2015/642";"HOSTOMICE POD BRDY";"BE";92260;0
"KH/K¡COV     /2016/795";"CHABEÿICE";"KH";92482;0
"KH/K¡COV     /2016/795";"ZRU» NAD S¡ZAVOU";"KH";99476;0
"KH/LIäICE U S/2016/146";"SULOVICE";"KH";97746;0
"KH/CHOTUSICE /2016/617";"»¡SLAV";"KH";90825;0
"KH/CHOTUSICE /2016/617";"JAKUB";"KH";92768;0
"KH/SUCHDOL U /2016/785";"MISKOVICE";"KH";94799;0
"KH/POL¡NKA U /2016/201";"CHLÕSTOVICE U PERTOLTIC";"KH";92515;0
"KH/KUTN¡ HORA/2016/375";"PERäTEJNEC";"KH";95809;0
"KH/BRAT»ICE U/2016/549";"»¡SLAV";"KH";90825;0
"KH/BRAT»ICE U/2016/549";"NOV… DVORY U KUTN… HORY";"KH";95325;0
"KH/BRAT»ICE U/2016/549";"STAR› KOLÕN";"KO";97484;0
"KH/CHLÕSTOVIC/2016/728";"»ERNÕNY";"KH";90930;0
"KH/NOV… DVORY/2016/646";"Z¡BOÿÕ NAD LABEM";"KH";99183;0
"KH/NOV… DVORY/2016/646";"éEHUäICE";"KH";99559;0
"KH/NOV… DVORY/2016/646";"BÕL… PODOLÕ";"KH";90226;0
"NA/JETÿICHOV /2015/363";"MEZIMÃSTÕ";"NA";94688;0
"PZ/KNÃéÕVKA  /2015/222";"PRAHA - PÿEDNÕ KOPANINA";"P6";96256;0
"PZ/KNÃéÕVKA  /2015/222";"TUCHOMÃÿICE";"PZ";98278;0
"PZ/KNÃéÕVKA  /2015/222";"PRAHA - RUZYNÃ";"P6";96259;0
"TU/BE»KOV    /2015/941";"POÿÕ»Õ U TRUTNOVA";"TU";96142;0
"TU/éIRE» MÃST/2015/558";"éIRE» VES";"TU";99630;0
"P5/PRAHA - LO/2015/302";"PRAHA - SLIVENEC";"P5";96264;0
"TU/LABSK¡    /2015/477";"äPINDLERŸV ML›N";"TU";97937;0
"SM/HORNÕ BRAN/2015/168";"VRCHLABÕ";"TU";99032;0
"TU/»IST¡ V KR/2015/940";"PROSTÿEDNÕ L¡NOV";"TU";96347;0
"PA/PO»APLY NA/2015/691";"SEZEMICE NAD LOU»NOU";"PA";97062;0
"NB/NYMBURK   /2015/682";"OPO»NICE";"NB";95572;0
"CR/BLÕé“OVICE/2015/981";"»ANKOVICE";"CR";90824;0
"CR/LUKAVICE  /2015/177";"MIÿETICE U NASAVRK";"CR";94793;0
"CR/LUKAVICE  /2015/177";"V»EL¡KOV";"CR";98522;0
"CR/HROUBOVICE/2015/983";"CHRAST";"CR";92651;0
"CR/HROUBOVICE/2015/983";"ROSICE U CHRASTI";"CR";96747;0
"CR/HROUBOVICE/2015/983";"SYN»ANY";"CR";97868;0
"CR/HROUBOVICE/2015/983";"BOR U CHROUSTOVIC";"CR";90375;0
"CR/HOLI»KY U /2016/546";"MORAäICE U CHRUDIMI";"CR";94918;0
"CR/KRASKOV   /2016/443";"SE»";"CR";96968;0
"CR/SKORANOV  /2016/626";"V¡PENN› PODOL";"CR";98512;0
"CR/TUNÃCHODY /2016/163";"HLINSKO V »ECH¡CH";"CR";91875;0
"PA/KOSTÃNICE /2016/463";"DVAKA»OVICE";"CR";91668;0
"PA/KOSTÃNICE /2016/463";"BOÿICE U HROCHOVA T›NCE";"CR";90430;0
"JH/JINDÿICHŸV/2015/132";"RADOU“KA";"JH";96624;0
"JC/SOB»ICE   /2014/933";"OSTROMÃÿ";"JC";95629;0
"JC/PODHRADÕ U/2014/954";"HL¡SN¡ LHOTA U JI»ÕNA";"JC";91850;0
"JC/VYSOK… VES/2014/205";"SBÃÿ";"JC";96964;0
"JC/VYSOK… VES/2014/205";"HROBI»ANY";"JC";92372;0
"JC/KNÃéNICE  /2014/122";"LIBU“";"JC";94125;0
"JC/RYTÕÿOVA L/2014/783";"DOBäICE";"JC";91263;0
"JC/STAR… SMRK/2014/924";"OHNIäçANY";"HK";95460;0
"JC/NEVRATICE /2014/513";"OBORA U CHOMUTIC";"JC";95420;0
"JC/LUéANY U J/2014/369";"SVATOJANSK› ⁄JEZD";"JC";97775;0
"JC/L¡ZNÃ BÃLO/2014/357";"ä¡ROVCOVA LHOTA";"JC";97887;0
"JC/MILETÕN   /2014/865";"HOÿICE V PODKRKONOäÕ";"JC";92233;0
"JC/KOPIDLNO  /2014/257";"BÕLSKO U KOPIDLNA";"JC";90242;0
"JC/HÿÕDELEC  /2014/913";"SVATOJANSK› ⁄JEZD";"JC";97775;0
"JC/HÿÕDELEC  /2014/913";"L¡NY U L¡ZNÕ BÃLOHRADU";"JC";93856;0
"JC/LIB¡“     /2014/582";"DÃTENICE";"JC";91150;0
"JC/CHOMUTICE /2014/533";"CHOMUTI»KY";"JC";92588;0
"JC/CHOMUTICE /2014/533";"OBORA U CHOMUTIC";"JC";95420;0
"JC/ROHOZNICE /2015/277";"MILETÕN";"JC";94736;0
"JC/OBORA U CH/2015/507";"NOV… SMRKOVICE";"JC";95356;0
"JC/OBORA U CH/2015/507";"DOMOSLAVICE";"JC";91493;0
"JC/STAR¡ PAKA/2015/499";"ROäKOPOV";"JC";96755;0
"JC/LIBONICE  /2015/710";"HOÿICE V PODKRKONOäÕ";"JC";92233;0
"JC/BRTEV     /2015/825";"L¡ZNÃ BÃLOHRAD";"JC";93871;0
"JC/KOPIDLNO  /2015/362";"ML›NEC U KOPIDLNA";"JC";94846;0
"JC/KOPIDLNO  /2015/362";"BUD»EVES";"JC";90657;0
"JC/⁄DRNICE   /2015/627";"LIB¡“";"JC";94040;0
"JC/TETÕN     /2015/230";"VÿESNÕK U TETÕNA";"JC";99056;0
"JC/LUéANY U J/2015/273";"DÿEVÃNICE";"JC";91619;0
"JC/LUéANY U J/2015/273";"CHOTE» U L¡ZNÕ BÃLOHRADU";"JC";92601;0
"JC/KOVA»     /2015/980";"VOJICE";"JC";98909;0
"JC/KOVA»     /2015/980";"BUTOVES";"JC";90721;0
"JC/JEÿICE    /2015/258";"RAäÕN";"JC";96668;0
"JC/JEÿICE    /2015/258";"CHVALINA";"JC";92720;0
"JC/JEÿICE    /2015/258";"HOÿICE V PODKRKONOäÕ";"JC";92233;0
"JC/JI»ÕN     /2015/163";"VALDICE";"JC";98492;0
"JC/JI»ÕN     /2015/163";"éELEZNICE";"JC";99576;0
"JC/JI»ÕN     /2015/163";"TÃäÕN";"JC";98069;0
"JC/OBORA U CH/2015/655";"NOV… SMRKOVICE";"JC";95356;0
"JC/OBORA U CH/2015/655";"DOMOSLAVICE";"JC";91493;0
"JC/VYSOK… VES/2015/627";"STAR… SMRKOVICE";"JC";97467;0
"JC/ä¡ROVCOVA /2015/399";"»ERNÕN U LUKAVCE";"JC";90928;0
"JC/NOV¡ PAKA /2016/228";"äTIKOV";"JC";97968;0
"JC/OSEK U SOB/2016/574";"SOBOTKA";"JC";97311;0
"JC/CHOTE» U L/2016/343";"ML¡ZOVICE";"JC";94831;0
"JC/BYSTÿICE  /2016/431";"STAR… HRADY";"JC";97445;0
"JC/BRDO      /2016/900";"ZBOéÕ U NOV… PAKY";"JC";99364;0
"JC/BRDO      /2016/900";"⁄STÕ U STAR… PAKY";"JC";98451;0
"JC/RADIM U JI/2016/203";"ZBOéÕ U NOV… PAKY";"JC";99364;0
"JC/TÿEBOVÃTIC/2016/352";"DOLNÕ »ERNŸTKY";"JC";91316;0
"JC/KÿEäICE U /2016/330";"PSINICE";"JC";96488;0
"JC/KÿEäICE U /2016/330";"ZLIV U LIB¡NÃ";"JC";99463;0
"JN/NOV¡ VES N/2015/857";"SMRéOVKA";"JN";97277;0
"JN/VELK… HAMR/2015/704";"SMRéOVKA";"JN";97277;0
"JN/VELK… HAMR/2015/704";"Z¡SADA";"JN";99331;0
"JN/DESN¡     /2015/631";"TANVALD";"JN";98013;0
"JN/R›NOVICE  /2015/305";"LUK¡äOV";"JN";94380;0
"JN/JANOV NAD /2015/375";"LU»ANY NAD NISOU";"JN";94360;0
"JN/LU»ANY NAD/2015/298";"HORNÕ MAXOV";"JN";92092;0
"JN/LU»ANY NAD/2015/298";"DOLNÕ MAXOV";"JN";91381;0
"JN/LU»ANY NAD/2015/298";"JOSEFŸV DŸL U JABLONCE NAD NISOU";"JN";93003;0
"JN/JABLONEC N/2015/773";"MäENO NAD NISOU";"JN";94984;0
"JN/Z¡SADA    /2015/719";"VELK… HAMRY";"JN";98607;0
"LI/HORNÕ HANY/2015/130";"DOUBÕ U LIBERCE";"LI";91502;0
"LI/CHRASTAVA /2015/339";"DOLNÕ CHRASTAVA";"LI";91340;0
"LI/CHRASTAVA /2015/900";"CHRASTAVA II";"LI";92660;0
"LI/ROZST¡NÕ P/2015/225";"SVÃTL¡ POD JEäTÃDEM";"LI";97799;0
"LI/STAR… PAVL/2015/686";"NOV… PAVLOVICE";"LI";95350;0
"LI/STAR… PAVL/2015/383";"NOV… PAVLOVICE";"LI";95350;0
"LI/HORNÕ HANY/2015/365";"DOLNÕ HANYCHOV";"LI";91328;0
"LI/JANŸV DŸL /2015/463";"DOLNÕ HANYCHOV";"LI";91328;0
"LI/MACHNÕN   /2015/962";"HORNÕ SUCH¡ U LIBERCE";"LI";92160;0
"LI/FR›DLANT  /2015/133";"RASPENAVA";"LI";96667;0
"CL/JABLONN… V/2015/569";"MARKVARTICE V PODJEäTÃDÕ";"CL";94565;0
"LI/NOV¡ VES U/2015/552";"MNÕäEK U LIBERCE";"LI";94872;0
"LI/NOV¡ VES U/2015/552";"ANDÃLSK¡ HORA U CHRASTAVY";"LI";90020;0
"LI/STAR… PAVL/2015/311";"NOV… PAVLOVICE";"LI";95350;0
"MB/DEBÿ      /2013/136";"JOSEFŸV DŸL U MLAD… BOLESLAVI";"MB";93004;0
"KO/CHOT›ä    /2013/545";"SVATBÕN";"KO";97771;0
"NB/RATENICE  /2013/238";"DOBÿICHOV";"KO";91256;0
"MB/BEZDÃ»ÕN U/2013/479";"MLAD¡ BOLESLAV";"MB";94809;0
"KO/KLU»OV U »/2012/881";"LSTIBOÿ";"KO";94345;0
"KO/KOLÕN     /2013/182";"NEBOVIDY";"KO";95081;0
"KO/äTÕTARY U /2013/360";"KOLÕN";"KO";93327;0
"PZ/LIBE“ U LI/2013/377";"ZLATNÕKY U PRAHY";"PZ";99458;0
"BN/STRUHAÿOV /2013/731";"ROUBÕ»KOVA LHOTA";"BN";96757;0
"BN/STRUHAÿOV /2013/731";"JEMNIäTÃ";"BN";92870;0
"PV/SENOHRABY /2013/475";"TURKOVICE U ONDÿEJOVA";"PV";98297;0
"PV/SENOHRABY /2013/475";"HRUSICE";"PV";92390;0
"PV/ÿÕ»ANY U P/2013/999";"RADOäOVICE";"PV";96617;0
"PV/ÿÕ»ANY U P/2013/999";"PACOV U ÿÕ»AN";"PV";95701;0
"NB/SOVENICE  /2013/166";"BOäÕN";"NB";90441;0
"NB/SADSK¡    /2013/218";"KOSTELNÕ LHOTA";"NB";93428;0
"P4/PRAHA - MO/2013/482";"PRAHA - KOMOÿANY";"P4";96222;0
"PZ/VELK… PÿÕL/2011/180";"KAM›K U VELK›CH PÿÕLEP";"PZ";93086;0
"KO/TOUäICE   /2013/692";"ML…KOVICE";"KO";94838;0
"ME/NOV¡ VES U/2013/417";"VEPÿEK";"ME";98663;0
"PZ/CH›NÃ     /2013/118";"HOSTIVICE";"PZ";92255;0
"PZ/CH›NÃ     /2013/118";"JENE» U PRAHY";"PZ";92872;0
"RA/äÕPY      /2012/628";"VäESULOV";"RA";99092;0
"MB/MLAD¡ BOLE/2013/806";"JEMNÕKY U MLAD… BOLESLAVI";"MB";92869;0
"MB/BOSE“     /2013/294";"DNEBOH";"MB";91195;0
"MB/MLAD¡ BOLE/2013/942";"BEZDÃ»ÕN U MLAD… BOLESLAVI";"MB";90187;0
"BE/HL¡SN¡ TÿE/2013/491";"LETY U DOBÿICHOVIC";"PZ";93960;0
"BE/HL¡SN¡ TÿE/2013/491";"MOÿINA";"BE";94938;0
"BE/HL¡SN¡ TÿE/2013/491";"MOÿINKA";"BE";94939;0
"MB/ÿEPOV     /2013/832";"MLAD¡ BOLESLAV";"MB";94809;0
"PV/VODOCHODY /2011/562";"HOäTICE U VODOCHOD";"PV";92275;0
"KO/ROSTOKLATY/2013/558";"NOV¡ VES II";"KO";95269;0
"KO/KON¡ROVICE/2013/518";"KRAKOVANY";"KO";93532;0
"KO/KON¡ROVICE/2013/518";"BOéEC";"KO";90453;0
"KO/POLEPY U K/2013/834";"KOLÕN";"KO";93327;0
"MB/»EJETICE U/2013/540";"DEBÿ";"MB";91118;0
"MB/»EJETICE U/2013/540";"JOSEFŸV DŸL U MLAD… BOLESLAVI";"MB";93004;0
"KO/KOSTELEC N/2014/177";"PÿEHVOZDÕ";"KO";96410;0
"KO/SEDLOV    /2014/147";"SUCHDOL U KUTN… HORY";"KH";97728;0
"BE/éEBR¡K    /2014/276";"SEDLEC U éEBR¡KU";"BE";96991;0
"BE/ZDICE     /2014/208";"CHLUSTINA";"BE";92553;0
"MB/KOSMONOSY /2014/468";"DEBÿ";"MB";91118;0
"MB/BOSE“     /2014/522";"MUéSK›";"MB";95002;0
"MB/MLAD¡ BOLE/2014/254";"PLAZY";"MB";95915;0
"MB/MLAD¡ BOLE/2014/487";"DOBRO»OVICE";"PV";91224;0
"RA/JANOV     /2014/369";"KOUNOV U RAKOVNÕKA";"RA";93471;0
"BE/KUCHAÿ    /2014/353";"TRNÃN› ⁄JEZD";"BE";98147;0
"PV/»ESTLICE  /2014/885";"NUPAKY";"PV";95402;0
"NB/NYMBURK   /2014/113";"KOVANICE";"NB";93481;0
"NB/PÕSTY U NY/2014/244";"NYMBURK";"NB";95406;0
"MB/VELK… VäEL/2014/332";"ZAMACHY";"MB";99313;0
"MB/KRNSKO    /2014/283";"ÿEHNICE";"MB";96895;0
"PZ/STATENICE /2014/188";"TUCHOMÃÿICE";"PZ";98278;0
"PZ/KNÃéEVES U/2014/378";"KNÃéEVES U PRAHY";"PZ";93242;0
"MB/DEBÿ      /2014/292";"HRDLOÿEZY U MLAD… BOLESLAVI";"MB";92363;0
"P5/PRAHA - LA/2014/932";"PRAHA - VELK¡ CHUCHLE";"P5";96283;0
"P5/PRAHA - LA/2014/932";"PRAHA - VELK¡ CHUCHLE";"P5";96283;0
"KO/CERHENICE /2014/191";"P“OV";"NB";95942;0
"KO/CERHENICE /2014/191";"P“OV";"NB";95942;0
"KO/CERHENICE /2014/191";"P“OV";"NB";95942;0
"NB/PE»KY     /2014/538";"RADIM U KOLÕNA";"KO";96573;0
"P0/PRAHA - HO/2014/672";"PRAHA - Z¡BÃHLICE";"P0";96290;0
"MB/KATUSICE  /2015/198";"BÿEZINKA POD BEZDÃZEM";"MB";90604;0
"BE/SVAT¡     /2015/405";"»ERNÕN U ZDIC";"BE";90929;0
"BN/PS¡ÿE     /2015/510";"VäECHLAPY NAD BLANICÕ";"BN";99065;0
"PV/STRAN»ICE /2015/151";"VäESTARY U ÿÕ»AN";"PV";99089;0
"PV/STRAN»ICE /2015/151";"VäESTARY U ÿÕ»AN";"PV";99089;0
"NB/PE»KY     /2015/719";"DOBÿICHOV";"KO";91256;0
"MB/KORYTA U M/2015/715";"MOHELNICE NAD JIZEROU";"MB";94891;0
"KO/KOUÿIM    /2015/323";"RADIM U KOLÕNA";"KO";96573;0
"KO/»ESK› BROD/2015/617";"LIBLICE U »ESK…HO BRODU";"KO";94091;0
"MB/LUäTÃNICE /2015/404";"LIBICHOV";"MB";94077;0
"MB/KNÃéMOST  /2015/288";"N¡SEDLNICE";"MB";95069;0
"KO/SENDRAéICE/2015/199";"VELTRUBY";"KO";98657;0
"KO/VYéLOVKA  /2015/141";"JEVANY";"KO";92920;0
"MB/VLKAVA    /2015/798";"»ACHOVICE";"MB";90811;0
"MB/VLKAVA    /2015/798";"»ACHOVICE";"MB";90811;0
"MB/KOV¡“     /2015/164";"SKALSKO";"MB";97094;0
"KO/OLEäKA    /2015/562";"SVATBÕN";"KO";97771;0
"BE/LEVÕN U BE/2015/609";"TRUBÕN";"BE";98180;0
"KO/TUKLATY   /2015/210";"ROSTOKLATY";"KO";96754;0
"NB/BEN¡TECK¡ /2015/365";"MILOVICE";"NB";94763;0
"NB/ODÿEPSY   /2015/174";"LIBICE NAD CIDLINOU";"NB";94073;0
"NB/NYMBURK   /2015/833";"KOSTOML¡TKY";"NB";93433;0
"NB/NYMBURK   /2015/833";"KOSTOMLATY NAD LABEM";"NB";93434;0
"NB/MILOVICE  /2015/610";"OSTR¡";"NB";95624;0
"NB/VRBOV¡ LHO/2015/152";"PÕSKOV¡ LHOTA";"MB";95875;0
"NB/BUDIMÃÿICE/2015/743";"CHLEBY";"NB";92503;0
"P5/PRAHA - MA/2015/517";"PRAHA - VELK¡ CHUCHLE";"P5";96283;0
"P5/PRAHA - MA/2015/517";"PRAHA - VELK¡ CHUCHLE";"P5";96283;0
"KO/SVATBÕN   /2015/654";"KOSTELEC NAD »ERN›MI LESY";"KO";93412;0
"NB/VYK¡“     /2016/523";"äTOLMÕÿ";"KO";97985;0
"PZ/HVOZDNICE /2016/201";"MASE»ÕN";"PZ";94594;0
"PZ/DAVLE     /2016/660";"OLEäKO U ZVOLE";"PZ";95509;0
"PV/ÿÕ»ANY U P/2016/129";"KUÿÕ U ÿÕ»AN";"PV";93781;0
"MB/ZVÕÿETICE /2015/677";"CHUDOPLESY";"MB";92708;0
"PZ/ZDIMÃÿICE /2016/383";"HOLE U PRŸHONIC";"PZ";91946;0
"PZ/»ERNOäICE /2016/367";"DOBÿICHOVICE";"PZ";91257;0
"PV/RADOäOVICE/2016/100";"STRAäÕN U ÿÕ»AN";"PV";97560;0
"PZ/OSNICE    /2016/935";"ZDIMÃÿICE U PRAHY";"PZ";99410;0
"KO/CERH›NKY  /2016/235";"CERH›NKY";"KO";90777;0
"PZ/BOREK NAD /2016/574";"JÕLOV… U PRAHY";"PZ";92947;0
"PZ/PS¡RY     /2016/595";"LIBEÿ";"PZ";94062;0
"PZ/PS¡RY     /2016/595";"LIBE“ U LIBEÿE";"PZ";94057;0
"KO/DOUBRAV»IC/2016/335";"äTÕHLICE";"KO";97965;0
"MB/BOJETICE  /2016/603";"DOBROVICE";"MB";91236;0
"MB/BOJETICE  /2016/603";"NEPÿEV¡ZKA";"MB";95165;0
"MB/BOJETICE  /2016/603";"VINAÿICE U DOBROVICE";"MB";98771;0
"MB/BOJETICE  /2016/603";"SYCHROV NAD JIZEROU";"MB";97863;0
"MB/LIPNÕK    /2016/683";"»ACHOVICE";"MB";90811;0
"KO/LIBLICE U /2016/510";"KLU»OV U »ESK…HO BRODU";"KO";93231;0
"KO/LIBLICE U /2016/510";"CHR¡ST U POÿÕ»AN";"NB";92655;0
"KO/LIBLICE U /2016/510";"KOUNICE";"NB";93468;0
"KO/LIBLICE U /2016/510";"VYK¡“";"NB";99106;0
"KO/LIBLICE U /2016/510";"KOZOVAZY";"PV";93518;0
"KO/LIBLICE U /2016/510";"MOCHOV";"PV";94894;0
