"KOD";"PORC_ADB";"CIS_ADB";"CP";"PPC";"PUV_ZN";"AUTOR_ADB";"INST_ADB";"ROK_ADB";"TVAR_ADB";"HROB";"KULT1";"KULT2";"KULT3";"KULT4";"KULT5";"KULT6";"POZN_ADB";"V_SYST"
"P1/PRAHA - MA/2010/339";1;0;"503";"784";"R01";"Havrda J.";"NPÚ Praha";"2010";"L";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2010/377";1;0;;"993";"R01";"Havrda J.";"NPÚ Praha";"2010";"B";0;"vstred";;;;;;;"B"
"P1/PRAHA - MA/2010/513";1;0;"170";"583";"S01";"Havrda J.";"NPÚ Praha";"2010";"L";0;;;;;;;"negativní";"B"
"P1/PRAHA - MA/2010/534";1;0;;"742/1";"øez 2";"Havrda J.";"NPÚ Praha";"2010";"B";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2010/661";1;0;"464";"304";"R01, R02";"Havrda J.";"NPÚ Praha";"2010";"L";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2010/802";1;0;;"744/1";"øez 3";"Havrda J.";"NPÚ Praha";"2010";"B";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2010/868";1;0;"4/III";"5";"S1";;"NPÚ Praha";"2010";"L";0;;;;;;;;"B"
"P1/PRAHA - MA/2010/937";1;0;"474";"280";"R01";"Havrda J.";"NPÚ Praha";"2010";"B";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2011/151";1;0;"72";"167/1";"Sonda 01";"Cymbalak T.";"NPÚ Praha";"2011";"P";0;"no.1";;;;;;"Sonda lokalizovaná v jihozápadní èásti sklepních místností objektu èp. 72, kde, podle projektu rekonstrukce domu, má bıt zøízená nová sklepní místnost. Dok. Hist. Nadloí zahájena od kóty 189,00 m n.m. Povrch geologického podloí nebyl dosaen a její nejniší bod se nalézal cca 0,5 m pod povrchem pùvodní podlahy sklepa, tvoøené valounovou dlabou (186,02 m n. m.).";"B"
"P1/PRAHA - MA/2011/151";2;0;"73";"171";"Sonda 02";"Cymbalak T.";"NPÚ Praha";"2011";"P";0;"no.1";;;;;;"Archeol. dok. realizována v J konci spojovací chodby sklep. Místností èp. 73. Chodba je lokal. Uprostøed budovy a její umístìní odpovídá prùbìhu domovního prùjezdu v úrovni pøízemí. Povrch hist. Ter. 186,50 m n.m., jejich char. Napovídá o jejich pøírodním pùvodu. Vıraznìjší pøímìs uhlíkù a pískù mezi støídajícími se polohami prachovitıch hlín s valounky a maltou poukazuje na mohutné pøesuny stavebních sutí a nivelaèní práce, jejich dùsledkem bylo zasypání zaniklého ramena Vltavy, které bylo dokonèeno a v prùbìhu vrcholného støedovìku a raného novovìku.";"B"
"P1/PRAHA - MA/2011/191";1;0;"72";"167/1";"Sonda 01";"Cymbalak T.";"NPÚ Praha";"2011";"P";0;"no.1";;;;;;"Sonda lokalizována v JZ èásti sklepních místností objektu è.p. 72, kde podle projektu rekonstrukce domu, má bıt zøízená nová sklepní              místnost. Dok. his. nadloí zahájena od kóty 189,00 m n.m. Povrch  geologického podloí nebyl dosaen a její nejniší bod se nalézal cca 0,5 m pod povrchem pùvodní podlahy sklepa, tvoøené valounovou dlabou (186,02 m n.m.)";"B"
