"KOD";"AUTORI";"TITUL";"MISTO";"CASOP";"ROCNIK";"ROK";"STR"
"TA/RADÌTICE  /1987/616";"Beneš A.";"Muzeum keramiky Bechynì, katalog pravìké sbírky";;;;;
"KT/LOVÈICE   /    /752";"Beneš A.";"Minulosti ZC kraje X '74,176";;;;;
"KT/ÈÍMICE    /1971/818";"Beneš A.";"Minulostí Západoèeského kraje 10";;;;"1973";"174"
"KT/HORAÏOVIC/1971/033";"Beneš A.";"Minulostí Západoèeského kraje 10";;;;"1973";"174"
"KV/MEZIROLÍ  /1971/315";"Beneš A.";"Minulostí Západoèeského kraje 10";;;;"1973";"177"
"KV/VELICHOV  /1971/630";"Beneš A.";"Minulostí Západoèeského kraje 10";;;;"1974";"180"
"PJ/SRBY      /1971/839";"Beneš A.";"Minulostí Západoèeského kraje 10";;;;"1973";"179"
"PM/KØIMICE   /1971/202";"Beneš A.";"Minulostí Západoèeského kraje 10";;;;"1973";"176"
"PJ/ÚTUŠICE   /    /647";"Beneš A.";"Minulosti Zapadoceskeho kraje X,1974,180";;;;;
"KT/FRYMBURK  /    /697";"Beneš A.";"Minulosti Zapadoceskeho kraje X 1974,182";;;;;
"RO/VESELÁ    /    /981";"Beneš A.";"Minulosti Zapadoceskeho kraje X 1974,181";;;;;
"KT/SUŠICE    /    /803";"Beneš A.";"Minulosti Zapadoceskeho kraje X 1974,180";;;;;
"KT/SVÉRADICE /    /805";"Beneš A.";"Minulosti Zapadoceskeho kraje X 1974,180";;;;;
"PJ/RADKOVICE /    /581";"Beneš A.";"Minulosti Zapadoceskeho kraje X 1974,179";;;;;
"KL/PÁLEÈEK   /1945/246";;"Slánskı obzor XXXVI";;;;"1928";"60"
"KL/PÁLEÈEK   /1925/508";;"Slánskı obzor XXXIII";;;;"1925";"57"
"KL/KOKOVICE  /1939/403";;"Slánskı obzor XX";;;;"1912";"95-96"
"KL/TØEBÍZ    /1902/349";;"Slánskı obzor XVII (obr.)";;;;"1910";
"KL/KOKOVICE  /1939/403";;"Slánskı obzor XLVIII";;;;"1939";"94-97"
"KL/TØEBÍZ    /1902/349";;"Slánskı obzor X (dary)";;;;"1902";"146"
"CH/HÁJE      /    /661";;"Schaller II/214";;;;;
"SM/LEVÍNSKÁ O/    /774";;"Semilsko, 124. Hradec Králové";;;;;
"PS/PØÍŠOV    /    /842";;"Sbornik Plzen I,122,Tab.II";;;;"1922";
"PM/LITICE    /    /718";;"Sbornik Plzen I,122";;;;;
"TC/TACHOV    /1989/525";;"Sborník OM v Tachovì";;;;;
"PJ/LIBÁKOVICE/1982/228";;"Sborník MHM v Plzni VII";;;;;"7-13"
"KH/KUTNÁ HORA/1968/054";;"Sborník Ars Vitraria 4";;;;;
"KH/ÈÁSLAV    /    /952";;"SbNM,28/1974,88";;;;;
"BE/KRÁLÙV DVÙ/    /106";;"SbNM XXI,109";;;;;
"BN/TELETÍN   /    /749";;"Sb.vlastivednych praci z Podblanicka 7,1966,279";;;;;
"KO/VRBÈANY   /    /608";;"Sb.NM XXVIII/2-4,1974,88";;;;;
"PS/PÒOVANY   /    /835";;"Sb. Okresniho muzea v Tachove 15,str.39";;;;;
"PV/BRANDİS NA/    /963";;"SaZ OM P-V 1972,28n.";;;;;
"PV/NOVİ VESTE/    /202";;"SaZ 1981-2,45n.";;;;;
"PV/ÈELÁKOVICE/?   /938";;"Sabatier 22-8";;;;;"228"
"LT/CTINÌVES  /1876/546";;"Øíp 7, 1.3.";;;;"1880";
"LT/LIBKOVICE /1882/545";;"Øip 13, 1.5.";;;;;
"LT/CTINÌVES  /1880/943";;"Øip 11, 15.7.";;;;;
"LT/MNETÌŠ    /1880/527";;"Øip 11, 15.4.";;;;;
"RO/ÚJEZD U SV/1978/035";;"Rozpravy NTM";;;;;
"LN/DOLÁNKY   /    /199";;"Roman imports in Bohemia";;;;"1970";"29"
"PV/ÈELÁKOVICE/1940/528";;"Roèenka XV";;;;;"2"
"CL/DOKSY     /1984/358";;"Roèenka Klubu Augusta Sedláèka";;;;"1985";"30-35"
"CL/VELENICE  /1986/052";;"Roèenka Klubu Augusta Sedláèka";;;;"1987";"20-24"
"KO/MALOTICE  /1984/655";;"Roèenka Klubu Augusta Sedláèka";;;;"1984";"39-45"
"KT/KAŠPERSKÉ /    /055";;"Roèenka Klubu Augusta Sedláèka";;;;"1987";"49-52"
"KT/KUNKOVICE /    /909";;"Roèenka Klubu Augusta Sedláèka";;;;"1987";"67-78"
"KT/KVASETICE /1984/623";;"Roèenka Klubu Augusta Sedláèka";;;;"1984";"20-27"
"KT/KVASETICE /1984/805";;"Roèenka Klubu Augusta Sedláèka";;;;"1984";"20-27"
"PZ/LITOVICE  /1983/012";;"Roèenka Klubu Augusta Sedláèka";;;;"1984";"84-95"
"SM/STUDENEC  /1985/203";;"Roèenka Klubu Augusta Sedláèka";;;;"1987";"41-46"
"TC/ÈERNOŠÍN  /1985/744";;"Roèenka Klubu Augusta Sedláèka";;;;"1985";"119-121"
"DO/MÌLNICE   /1984/836";;"Roèenka Klubu Augusta Sedláèka";;;;;"66-73"
"DO/MÍØKOV    /1985/838";;"Roèenka Klubu Augusta Sedláèka";;;;;"47-49"
"KT/STARÁ LHOT/1985/109";;"Roèenka Klubu Augusta Sedláèka";;;;;"39-55"
"KT/SVOJŠICE  /?   /013";;"Roèenka Klubu Augusta Sedláèka";;;;"1985";"58-67"
"KT/VELHARTICE/1981/827";;"Roèenka Klubu Augusta Sedláèka";;;;"1987";"46-52"
"KT/VELHARTICE/1981/831";;"Roèenka Klubu Augusta Sedláèka";;;;"1985";"46-52"
"PJ/NEBÍLOVSKİ/1984/128";;"Roèenka Klubu Augusta Sedláèka";;;;"1987";"105-111"
"PJ/NEZVÌSTICE/1985/916";;"Roèenka Klubu Augusta Sedláèka";;;;"1984";"56-59"
"PJ/RADKOVICE /1984/007";;"Roèenka Klubu Augusta Sedláèka";;;;"1984";"96-98"
"PJ/ØENÈE     /1984/324";;"Roèenka Klubu Augusta Sedláèka";;;;"1985";
"PS/NEÈTINY   /    /914";;"Roèenka Klubu Augusta Sedláèka";;;;"1985";"78-87"
"PS/NEKMÍØ    /1984/025";;"Roèenka Klubu Augusta Sedláèka";;;;"1984";"28-34"
"PS/NEKMÍØ    /1984/030";;"Roèenka Klubu Augusta Sedláèka";;;;"1985";"28-34"
"PS/VEJPRNICE /?   /126";;"Roèenka Klubu Augusta Sedláèka";;;;"1987";"29-41"
"PS/VEJPRNICE /?   /129";;"Roèenka Klubu Augusta Sedláèka";;;;"1984";"29-41"
"PT/VITÌJOVICE/    /037";;"Roèenka Klubu Augusta Sedláèka";;;;"1984";"95-108"
"PT/VITÌJOVICE/    /042";;"Roèenka Klubu Augusta Sedláèka";;;;"1987";"95-108"
"SM/STUDENEC  /1985/801";;"Roèenka Klubu Augusta Sedláèka";;;;"1987";"42-3"
"SM/ÏÁR U STA/    /116";;"Roèenka Klubu Augusta Sedláèka";;;;"1987";"43-45"
"TC/MILÍKOV   /1987/005";;"Roèenka Klubu Augusta Sedláèka";;;;"1987";"52-58"
"TC/OTROÈÍN   /1976/906";;"Roèenka Klubu Augusta Sedláèka";;;;"1987";"52-54"
"SM/HORNÍ ŠTÌP/?   /201";;"Roèenka Klubu Augusta Sedláèka";;;;;"41-46"
"PS/DOLANY U P/1983/946";;"Roèenka Klubu Augusta Sedláèka";;;;"1986";
"JC/ÚBISLAVICE/    /908";;"Roèenka Archeologického ústavu za rok 1939.Praha 1941";;;;;
"UO/ÚSTÍ NAD O/    /410";;"Roèenka Archeologického ústavu za rok 1939.Praha 1941";;;;;
"JC/OSTROMÌØ  /    /131";;"Roèenka Archeologického ústavu za rok 1939. Praha 1941.";;;;;
"RK/PANSKÁ HAB/    /134";;"Roèenka Archeologického ústavu za rok 1939. Praha 1941.";;;;;
"SM/VYSKEØ    /    /219";;"Roèenka Archeologického ústavu za rok 1939. Praha 1941.";;;;;
"HK/LIBRANTICE/    /050";;"Roèenka Archeologického ústavu za rok 1939. Praha 1941";;;;;
"RK/LIPOVKA   /    /026";;"Roèenka Archeologického ústavu za rok 1939, Praha 1941.";;;;;
"NA/NÁCHOD    /    /415";;"Roèenka Archeologického ústavu za rok 1939, Praha 1941.";;;;;
"RK/KOSTELEC N/    /889";;"Roèenka Archeologického ústavu za rok 1939, Praha 1941.";;;;;
"HK/NOVİ BYDO/    /612";;"Roèenka Archeologického ústavu za rok 1939, Praha 1941";;;;;
"JC/RADIM     /    /362";;"Roèenka Archeologického ústavu za rok 1939, Praha 1941";;;;;
"PS/VŠERUBY   /    /883";;"rkp. denik Ctrnacta '36;Kartoteka ZSO v ZCM";;;;"1987";
"BN/OSTØEDEK  /1969/638";;"Reliquiae I";;;;;"68 n"
"BN/KOUTY     /1969/708";;"Reliquiae 2";;;;;"142"
"BN/ÈAKOV     /1969/727";;"Reliquiae 2";;;;;"116"
"BN/SOUTICE   /1969/129";;"Reliquiae 2";;;;;"441"
"BN/ÈECHTICE  /1969/838";;"Reliquiae 1";;;;;"16"
"BN/HEØMANIÈKY/1969/918";;"Reliquiae 1";;;;;"69"
"BN/CHRÁŠANY /1969/854";;"Reliquiae";;;;;
"LT/RADOVESICE/    /481";;"Reinerth,V.d.S.II,1940";;;;;
"CH/DOLNÍ ÈÁST/    /627";;"Regesta Bohemiae IV,640,c.1604";;;;;
"CH/HORKA     /    /667";;"Regesta Bohemiae III,173";;;;;
"CH/HRADIŠTÌ  /    /684";;"Regesta Bohemiae III 348 c.881";;;;;
"CH/DØENICE   /    /636";;"Regesta Bohemiae II,325";;;;"1887";
"PJ/SRBY      /    /600";"Beneš A.";"Minulosti Zapadoceskeho kraje X 1974,179";;;;;
"PM/PLZEÒ     /    /726";"Beneš A.";"Minulosti Zapadoceskeho kraje X 1974, 178";;;;;
"PM/PLZEÒ     /    /741";"Beneš A.";"Minulosti Zapadoceskeho kraje X 1974, 178";;;;;
"KT/HEJNÁ     /    /707";"Beneš A.";"Minulosti Zapadoceskeho kraje X 1974";;;;;
"PJ/SRBY      /    /601";"Beneš A.";"Minulosti zapadoceskeho kraje";;;;;
"PJ/MILÍNOV   /    /560";"Beneš A.";"Min.Zapdce.kraje X,'74,177";;;;;
"PJ/CHVÁLENICE/    /532";"Beneš A.";"Min.zapad.Kraje X '74,175";;;;;
"TC/KLADRUBY  /    /514";"Beneš A.";"Min.Zap.kraje X,1974, str.175";;;;;
"KH/KØESETICE /    /038";"Beneš A.";"MCCW IX,VII";;;;;
"ST/TØEBOHOSTI/1976/547";"Beneš A.";"Katovice v pravìku..., in: Koláø E.-Kuncipál K., U nás doma, Katovice";;;;"1974";"28"
"CB/DOUBRAVA  /1977/614";"Beneš A.";"Katalog Bechynì, ZpÈSSA (Supplément 1)";;;;"1966";"3-4"
"ME/BROZÁNKY  /1892/434";"Beneš A.";"K problémùm mohylové kultury doby bronzové ve støed.Èechách, SbNM 13-A";;;;;"1-96"
"ST/LIBÌTICE  /1997/156";"Beneš A.";"In Koláø-Kuncipál: U nás doma, Mìsteèko Katovice";;;;"1972";"25"
"KT/ALBRECHTIC/    /672";"Beneš A.";"Horni Pootavi v praveku a na poc.dejin podle archeol.pram.";;;;;
"CB/TEMELINEC /    /093";"Beneš A.";"Exp. ARÚ Plzeò è.j. 933/81";;;;"1981";
"CB/VITÍN     /    /094";"Beneš A.";"Exp. ARÚ Plzeò è.j. 907/76";;;;"1976";
"CB/HNÌVKOVICE/    /133";"Beneš A.";"Exp. ARÚ Plzeò è.j. 906/76";;;;"1976";
"CB/ŠTIPOKLASY/    /121";"Beneš A.";"Exp. ARÚ Plzeò è.j. 905/76";;;;"1976";
"CB/HROZNÌJOVI/    /091";"Beneš A.";"Exp. ARÚ Plzeò è.j. 895/76";;;;"1976";
"CB/TEMELINEC /    /093";"Beneš A.";"Exp. ARÚ Plzeò è.j. 825/81";;;;"1981";
"CB/TEMELINEC /    /093";"Beneš A.";"Exp. ARÚ Plzeò è.j. 763/81";;;;"1981";
"CB/KNÍN      /    /012";"Beneš A.";"Exp. ARÚ Plzeò è.j. 680/78";;;;"1978";
"CB/TEMELINEC /    /093";"Beneš A.";"Exp. ARÚ Plzeò è.j. 627/81";;;;"1981";
"CB/DOBØEJOVIC/    /092";"Beneš A.";"Exp. ARÚ Plzeò è.j. 612/74";;;;"1974";
"CB/RADONICE  /    /001";"Beneš A.";"Exp. ARÚ Plzeò è.j. 573/78";;;;"1978";
"CB/TİN NAD VL/    /125";"Beneš A.";"Exp. ARÚ Plzeò è.j. 553/72";;;;"1972";
"CB/TEMELINEC /    /093";"Beneš A.";"Exp. ARÚ Plzeò è.j. 509/81";;;;"1981";
"CB/VITÍN     /    /134";"Beneš A.";"Exp. ARÚ Plzeò è.j. 396/77";;;;"1977";
"CB/TEMELINEC /    /163";"Beneš A.";"Exp. ARÚ Plzeò è.j. 252/81";;;;"1981";
"CB/POØEANY  /    /175";"Beneš A.";"Exp. ARÚ Plzeò è.j. 248/85";;;;"1985";
"CB/IMUTICE  /    /162";"Beneš A.";"Exp. ARÚ Plzeò è.j. 246/81";;;;"1981";
"CB/TİN NAD VL/    /124";"Beneš A.";"Exp. ARÚ Plzeò è.j. 233/68";;;;"1968";
"CB/PLAV      /    /152";"Beneš A.";"Exp. ARÚ Plzeò è.j. 189/72";;;;"1972";
"CB/DOBØEJOVIC/    /183";"Beneš A.";"Exp. ARÚ Plzeò è.j. 120/88";;;;"1988";
"TA/VLKOV     /    /494";"Beneš A.";"Exp. ARÚ Plzeò è.j. 105/75";;;;;
"CB/SMILOVICE /1969/610";"Beneš A.";"Epitymbion...";;;;"1958";"50-54"
"JH/STRÁ NAD /1963/856";"Beneš A.";"Ekologie a ekonomie Tøebonska";;;;"1978";"42-43 l."
"PT/DOLNÍ KOL/1977/459";"Beneš A.";"Dìjiny Vimperka";;;;"1979";
"CB/DEHTÁØE   /1979/635";"Beneš A.";"Dehtáøe, Vıbìr 16";;;;"1979";"90-93"
"CB/SMILOVICE /    /120";"Beneš A.";"Das Bronzeschwert..., in: Epitymbion Roman Haken";;;;"1958";"50-54"
"CB/SMILOVICE /1935/703";"Beneš A.";"Das Bronzeschwert aus Smilovice in Südböhmen, Epitymbion Roman Haken";;;;"1958";"50-54"
"PM/KØIMICE   /    /708";"Beneš A.";"BZO '75,41";;;;;
"PM/DOUBRAVKA /    /699";"Beneš A.";"BZO '74,145";;;;;
"PI/DOBEŠICE  /1967/353";"Beneš A.";"BZO 5";;;;"1967";"9-10"
"ST/SUDOMÌØ   /1978/810";"Beneš A.";"BZO 5";;;;"1967";"34"
"PJ/VODNÍ ÚJEZ/    /657";"Beneš A.";"BZO 4,1966,9";;;;;
"PM/KØIMICE   /    /713";"Beneš A.";"BZO 3 '65,19,pc.62";;;;;
"PJ/ŠTÌNOVICE /    /639";"Beneš A.";"BZO 3 1965.35-36";;;;;
"PJ/SRBY      /    /603";"Beneš A.";"BZO 3 1965,34";;;;;
"PI/DOBEŠICE  /1967/353";"Beneš A.";"BZO 3";;;;"1965";"10"
"TA/BECHYNÌ   /1987/337";"Beneš A.";"BZO 1986-87";;;;"1989";"11"
"TA/KLOKOTY   /1998/850";"Beneš A.";"BZO 1986-87";;;;"1989";
"CB/DEHTÁØE   /1984/657";"Beneš A.";"BZO 1984-85";;;;"1987";"38"
"CB/HNÌVKOVICE/    /133";"Beneš A.";"BZO 1984-85";;;;"1987";"49"
"CB/HNÌVKOVICE/1985/209";"Beneš A.";"BZO 1984-85";;;;"1987";"49"
"CB/HOSTY     /1984/121";"Beneš A.";"BZO 1984-85";;;;"1987";"56-57"
"CB/HOSTY     /1985/126";"Beneš A.";"BZO 1984-85";;;;"1987";"56-57"
"CB/LITORADLIC/    /003";"Beneš A.";"BZO 1984-85";;;;"1987";"250"
"CB/LITORADLIC/1981/954";"Beneš A.";"BZO 1984-85";;;;"1987";"250"
"CB/PAŠINOVICE/1984/310";"Beneš A.";"BZO 1984-85";;;;"1987";"145"
"CB/POØEANY  /    /175";"Beneš A.";"BZO 1984-85";;;;"1987";"153"
"CB/POØEANY  /1985/645";"Beneš A.";"BZO 1984-85";;;;"1987";"153"
"CB/VŠEMYSLICE/    /003";"Beneš A.";"BZO 1984-85";;;;"1987";"136"
"CB/VŠEMYSLICE/1985/529";"Beneš A.";"BZO 1984-85";;;;"1987";"136"
"CK/KLADENSKÉ /1984/819";"Beneš A.";"BZO 1984-85";;;;"1987";"78-9"
"CK/KLADENSKÉ /1990/103";"Beneš A.";"BZO 1984-85";;;;"1987";"78-79"
"CK/KLADENSKÉ /1999/358";"Beneš A.";"BZO 1984-85";;;;"1987";"78-79"
"KT/BABÍN     /?   /220";"Beneš A.";"BZO 1984-85";;;;"1987";"9"
"KT/BABÍN     /1985/352";"Beneš A.";"BZO 1984-85";;;;"1987";"9"
"KT/BABÍN     /1985/410";"Beneš A.";"BZO 1984-85";;;;"1987";"9"
"KT/BABÍN     /1992/212";"Beneš A.";"BZO 1984-85";;;;"1987";"9"
"KT/ÈÍMICE    /1984/511";"Beneš A.";"BZO 1984-85";;;;"1987";"35"
"KT/HEJNÁ     /1984/258";"Beneš A.";"BZO 1984-85";;;;"1987";"47"
"KT/HORAÏOVIC/1985/102";"Beneš A.";"BZO 1984-85";;;;"1987";"9"
"KT/HORAÏOVIC/1985/107";"Beneš A.";"BZO 1984-85";;;;"1987";"9"
"KT/HORAÏOVIC/1985/111";"Beneš A.";"BZO 1984-85";;;;"1987";"51"
"KT/HORAÏOVIC/1993/904";"Beneš A.";"BZO 1984-85";;;;"1987";"222"
"KT/KOMUŠÍN   /?   /939";"Beneš A.";"BZO 1984-85";;;;"1987";"83"
"KT/KOMUŠÍN   /1985/732";"Beneš A.";"BZO 1984-85";;;;"1987";"83"
"KT/KOMUŠÍN   /1992/822";"Beneš A.";"BZO 1984-85";;;;"1987";"83"
"KT/NEZAMYSLIC/1984/906";"Beneš A.";"BZO 1984-85";;;;"1987";"135-136"
"KT/VELKİ BOR /1985/118";"Beneš A.";"BZO 1984-85";;;;"1987";"222"
"PI/CHØEŠOVIC/1982/720";"Beneš A.";"BZO 1984-85";;;;"1987";"248"
"PI/ORLÍK NAD /2000/843";"Beneš A.";"BZO 1984-85";;;;"1987";"142-143"
"PJ/HRADEC U S/1984/403";"Beneš A.";"BZO 1984-85";;;;"1987";"58"
"PJ/PRÁDLO    /1980/831";"Beneš A.";"BZO 1984-85";;;;"1987";"254"
"PJ/STARİ PLZE/1985/647";"Beneš A.";"BZO 1984-85";;;;"1987";"196-7"
"PJ/ÚNÌTICE   /1980/859";"Beneš A.";"BZO 1984-85";;;;"1987";"250"
"PT/JÁMA      /1981/307";"Beneš A.";"BZO 1984-85";;;;"1987";"248"
"PT/JÁMA      /1981/320";"Beneš A.";"BZO 1984-85";;;;"1987";"248"
"PT/JÁMA      /1981/325";"Beneš A.";"BZO 1984-85";;;;"1987";"248"
"PT/STRUNKOVIC/1984/918";"Beneš A.";"BZO 1984-85";;;;"1987";"198"
"ST/HLUPÍN    /1985/244";"Beneš A.";"BZO 1984-85";;;;"1987";"48-49"
"ST/KOZLOV    /1984/708";"Beneš A.";"BZO 1984-85";;;;"1987";"90"
"ST/STRUNKOVIC/1980/922";"Beneš A.";"BZO 1984-85";;;;"1987";"259"
"ST/STRUNKOVIC/1987/311";"Beneš A.";"BZO 1984-85";;;;;"256"
"TA/BECHYNÌ   /1984/204";"Beneš A.";"BZO 1984-85";;;;"1987";"11"
"TA/BECHYNÌ   /1986/829";"Beneš A.";"BZO 1984-85";;;;"1987";
"TA/HODONICE  /1984/228";"Beneš A.";"BZO 1984-85";;;;"1987";"11"
"TA/HODONICE  /1986/816";"Beneš A.";"BZO 1984-85";;;;"1987";
"TA/RADÌTICE  /1984/001";"Beneš A.";"BZO 1984-85";;;;"1987";"11"
"TA/RADÌTICE  /1986/312";"Beneš A.";"BZO 1984-85";;;;"1987";"11"
"PS/DOLNÍ HRAD/    /785";"Beneš A.";"BZO 1982-83,29.";;;;;
"CB/VRÁBÈE    /1982/103";"Beneš A.";"BZO 1982-83 (lok.è. 520b)";;;;"1985";"201-202"
"CB/VRÁBÈE    /1982/057";"Beneš A.";"BZO 1982-83 (lok.è. 520a)";;;;"1985";"202"
"CB/VLHLAVY   /1982/338";"Beneš A.";"BZO 1982-83 (lok.è. 512b)";;;;"1985";"200"
"CB/VLHLAVY   /1982/331";"Beneš A.";"BZO 1982-83 (lok.è. 512a)";;;;"1985";"199"
"CB/VRÁBÈE    /1997/437";"Beneš A.";"BZO 1982-83";;;;"1985";"201"
"CK/JARONÍN   /1973/104";"Beneš A.";"BZO 1982-83";;;;"1985";"73"
"CK/KØENOV    /1998/838";"Beneš A.";"BZO 1982-83";;;;"1985";"70"
"CK/VYŠNİ     /1998/048";"Beneš A.";"BZO 1982-83";;;;"1985";"77"
"PJ/ŠÁHLAVY  /    /637";"Beneš A.";"BZO 1980-81,121.";;;;;
"KT/VÍCENICE  /    /833";"Beneš A.";"BZO 1980-81, Praha '84, 132";;;;;
"CB/IMUTICE  /    /162";"Beneš A.";"BZO 1980-81, è. 450";;;;"1984";"140"
"CB/HLAVATCE  /1980/042";"Beneš A.";"BZO 1980-81 (lok.è. 87)";;;;"1984";"31"
