"Z_MAPA10";"ROHY";"X_JTSK";"Y_JTSK"
"01-12-06";"1_LH";916993,96;875396,63
"01-12-06";"2_PH";917712,09;870748,78
"01-12-06";"3_PD";921465,70;871340,89
"01-12-06";"4_LD";920747,10;875991,71
"01-12-07";"1_LH";917712,09;870748,78
"01-12-07";"2_PH";918430,23;866100,94
"01-12-07";"3_PD";922184,29;866690,08
"01-12-07";"4_LD";921465,70;871340,89
"01-12-08";"1_LH";918430,23;866100,94
"01-12-08";"2_PH";919148,36;861453,09
"01-12-08";"3_PD";922902,88;862039,27
"01-12-08";"4_LD";922184,29;866690,08
"01-12-09";"1_LH";919148,36;861453,09
"01-12-09";"2_PH";919866,49;856805,24
"01-12-09";"3_PD";923621,47;857388,45
"01-12-09";"4_LD";922902,88;862039,27
"01-12-10";"1_LH";919866,49;856805,24
"01-12-10";"2_PH";920584,63;852157,39
"01-12-10";"3_PD";924340,07;852737,64
"01-12-10";"4_LD";923621,47;857388,45
"01-12-11";"1_LH";920747,10;875991,71
"01-12-11";"2_PH";921465,70;871340,89
"01-12-11";"3_PD";925219,30;871933,00
"01-12-11";"4_LD";924500,25;876586,78
"01-12-12";"1_LH";921465,70;871340,89
"01-12-12";"2_PH";922184,29;866690,08
"01-12-12";"3_PD";925938,35;867279,22
"01-12-12";"4_LD";925219,30;871933,00
"01-12-13";"1_LH";922184,29;866690,08
"01-12-13";"2_PH";922902,88;862039,27
"01-12-13";"3_PD";926657,40;862625,45
"01-12-13";"4_LD";925938,35;867279,22
"01-12-14";"1_LH";922902,88;862039,27
"01-12-14";"2_PH";923621,47;857388,45
"01-12-14";"3_PD";927376,45;857971,67
"01-12-14";"4_LD";926657,40;862625,45
"01-12-15";"1_LH";923621,47;857388,45
"01-12-15";"2_PH";924340,07;852737,64
"01-12-15";"3_PD";928095,50;853317,89
"01-12-15";"4_LD";927376,45;857971,67
"01-12-16";"1_LH";924500,25;876586,78
"01-12-16";"2_PH";925219,30;871933,00
"01-12-16";"3_PD";928972,91;872525,11
"01-12-16";"4_LD";928253,40;877181,85
"01-12-17";"1_LH";925219,30;871933,00
"01-12-17";"2_PH";925938,35;867279,22
"01-12-17";"3_PD";929692,42;867868,37
"01-12-17";"4_LD";928972,91;872525,11
"01-12-18";"1_LH";925938,35;867279,22
"01-12-18";"2_PH";926657,40;862625,45
"01-12-18";"3_PD";930411,92;863211,63
"01-12-18";"4_LD";929692,42;867868,37
"01-12-19";"1_LH";926657,40;862625,45
"01-12-19";"2_PH";927376,45;857971,67
"01-12-19";"3_PD";931131,43;858554,88
"01-12-19";"4_LD";930411,92;863211,63
"01-12-20";"1_LH";927376,45;857971,67
"01-12-20";"2_PH";928095,50;853317,89
"01-12-20";"3_PD";931850,94;853898,14
"01-12-20";"4_LD";931131,43;858554,88
"01-12-21";"1_LH";928253,40;877181,85
"01-12-21";"2_PH";928972,91;872525,11
"01-12-21";"3_PD";932726,51;873117,22
"01-12-21";"4_LD";932006,54;877776,93
"01-12-22";"1_LH";928972,91;872525,11
"01-12-22";"2_PH";929692,42;867868,37
"01-12-22";"3_PD";933446,48;868457,51
"01-12-22";"4_LD";932726,51;873117,22
"01-12-23";"1_LH";929692,42;867868,37
"01-12-23";"2_PH";930411,92;863211,63
"01-12-23";"3_PD";934166,45;863797,80
"01-12-23";"4_LD";933446,48;868457,51
"01-12-24";"1_LH";930411,92;863211,63
"01-12-24";"2_PH";931131,43;858554,88
"01-12-24";"3_PD";934886,41;859138,10
"01-12-24";"4_LD";934166,45;863797,80
"01-12-25";"1_LH";931131,43;858554,88
"01-12-25";"2_PH";931850,94;853898,14
"01-12-25";"3_PD";935606,38;854478,39
"01-12-25";"4_LD";934886,41;859138,10
"01-13-01";"1_LH";928406,71;901075,46
"01-13-01";"2_PH";929126,68;896415,76
"01-13-01";"3_PD";932877,99;897022,69
"01-13-01";"4_LD";932157,57;901685,36
"01-13-02";"1_LH";929126,68;896415,76
"01-13-02";"2_PH";929846,64;891756,05
"01-13-02";"3_PD";933598,42;892360,02
"01-13-02";"4_LD";932877,99;897022,69
"01-13-03";"1_LH";929846,64;891756,05
"01-13-03";"2_PH";930566,61;887096,34
"01-13-03";"3_PD";934318,84;887697,34
"01-13-03";"4_LD";933598,42;892360,02
"01-13-04";"1_LH";930566,61;887096,34
"01-13-04";"2_PH";931286,58;882436,63
"01-13-04";"3_PD";935039,27;883034,67
"01-13-04";"4_LD";934318,84;887697,34
"01-13-05";"1_LH";931286,58;882436,63
"01-13-05";"2_PH";932006,54;877776,93
"01-13-05";"3_PD";935759,69;878372,00
"01-13-05";"4_LD";935039,27;883034,67
"01-13-06";"1_LH";932157,57;901685,36
"01-13-06";"2_PH";932877,99;897022,69
"01-13-06";"3_PD";936629,31;897629,62
"01-13-06";"4_LD";935908,42;902295,26
"01-13-07";"1_LH";932877,99;897022,69
"01-13-07";"2_PH";933598,42;892360,02
"01-13-07";"3_PD";937350,19;892963,98
"01-13-07";"4_LD";936629,31;897629,62
"01-13-08";"1_LH";933598,42;892360,02
"01-13-08";"2_PH";934318,84;887697,34
"01-13-08";"3_PD";938071,07;888298,35
"01-13-08";"4_LD";937350,19;892963,98
"01-13-09";"1_LH";934318,84;887697,34
"01-13-09";"2_PH";935039,27;883034,67
"01-13-09";"3_PD";938791,96;883632,71
"01-13-09";"4_LD";938071,07;888298,35
"01-13-10";"1_LH";935039,27;883034,67
"01-13-10";"2_PH";935759,69;878372,00
"01-13-10";"3_PD";939512,84;878967,07
"01-13-10";"4_LD";938791,96;883632,71
"01-13-11";"1_LH";935908,42;902295,26
"01-13-11";"2_PH";936629,31;897629,62
"01-13-11";"3_PD";940380,62;898236,55
"01-13-11";"4_LD";939659,28;902905,15
"01-13-12";"1_LH";936629,31;897629,62
"01-13-12";"2_PH";937350,19;892963,98
"01-13-12";"3_PD";941101,96;893567,95
"01-13-12";"4_LD";940380,62;898236,55
"01-13-13";"1_LH";937350,19;892963,98
"01-13-13";"2_PH";938071,07;888298,35
"01-13-13";"3_PD";941823,30;888899,35
"01-13-13";"4_LD";941101,96;893567,95
"01-13-14";"1_LH";938071,07;888298,35
"01-13-14";"2_PH";938791,96;883632,71
"01-13-14";"3_PD";942544,64;884230,75
"01-13-14";"4_LD";941823,30;888899,35
"01-13-15";"1_LH";938791,96;883632,71
"01-13-15";"2_PH";939512,84;878967,07
"01-13-15";"3_PD";943265,99;879562,15
"01-13-15";"4_LD";942544,64;884230,75
"01-13-16";"1_LH";939659,28;902905,15
"01-13-16";"2_PH";940380,62;898236,55
"01-13-16";"3_PD";944131,94;898843,49
"01-13-16";"4_LD";943410,14;903515,05
"01-13-17";"1_LH";940380,62;898236,55
"01-13-17";"2_PH";941101,96;893567,95
"01-13-17";"3_PD";944853,73;894171,92
"01-13-17";"4_LD";944131,94;898843,49
"01-13-18";"1_LH";941101,96;893567,95
"01-13-18";"2_PH";941823,30;888899,35
"01-13-18";"3_PD";945575,53;889500,35
"01-13-18";"4_LD";944853,73;894171,92
"01-13-19";"1_LH";941823,30;888899,35
"01-13-19";"2_PH";942544,64;884230,75
"01-13-19";"3_PD";946297,33;884828,79
"01-13-19";"4_LD";945575,53;889500,35
"01-13-20";"1_LH";942544,64;884230,75
"01-13-20";"2_PH";943265,99;879562,15
"01-13-20";"3_PD";947019,13;880157,22
"01-13-20";"4_LD";946297,33;884828,79
"01-13-21";"1_LH";943410,14;903515,05
"01-13-21";"2_PH";944131,94;898843,49
"01-13-21";"3_PD";947883,25;899450,42
"01-13-21";"4_LD";947160,99;904124,95
"01-13-22";"1_LH";944131,94;898843,49
"01-13-22";"2_PH";944853,73;894171,92
"01-13-22";"3_PD";948605,51;894775,89
"01-13-22";"4_LD";947883,25;899450,42
"01-13-23";"1_LH";944853,73;894171,92
"01-13-23";"2_PH";945575,53;889500,35
"01-13-23";"3_PD";949327,77;890101,36
"01-13-23";"4_LD";948605,51;894775,89
"01-13-24";"1_LH";945575,53;889500,35
"01-13-24";"2_PH";946297,33;884828,79
"01-13-24";"3_PD";950050,02;885426,82
"01-13-24";"4_LD";949327,77;890101,36
"01-13-25";"1_LH";946297,33;884828,79
"01-13-25";"2_PH";947019,13;880157,22
"01-13-25";"3_PD";950772,28;880752,29
"01-13-25";"4_LD";950050,02;885426,82
"01-14-01";"1_LH";932006,54;877776,93
"01-14-01";"2_PH";932726,51;873117,22
"01-14-01";"3_PD";936480,12;873709,33
"01-14-01";"4_LD";935759,69;878372,00
"01-14-02";"1_LH";932726,51;873117,22
"01-14-02";"2_PH";933446,48;868457,51
"01-14-02";"3_PD";937200,54;869046,65
"01-14-02";"4_LD";936480,12;873709,33
"01-14-03";"1_LH";933446,48;868457,51
"01-14-03";"2_PH";934166,45;863797,80
"01-14-03";"3_PD";937920,97;864383,98
"01-14-03";"4_LD";937200,54;869046,65
"01-14-04";"1_LH";934166,45;863797,80
"01-14-04";"2_PH";934886,41;859138,10
"01-14-04";"3_PD";938641,39;859721,31
"01-14-04";"4_LD";937920,97;864383,98
"01-14-05";"1_LH";934886,41;859138,10
"01-14-05";"2_PH";935606,38;854478,39
"01-14-05";"3_PD";939361,82;855058,64
"01-14-05";"4_LD";938641,39;859721,31
"01-14-06";"1_LH";935759,69;878372,00
"01-14-06";"2_PH";936480,12;873709,33
"01-14-06";"3_PD";940233,72;874301,44
"01-14-06";"4_LD";939512,84;878967,07
"01-14-07";"1_LH";936480,12;873709,33
"01-14-07";"2_PH";937200,54;869046,65
"01-14-07";"3_PD";940954,60;869635,80
"01-14-07";"4_LD";940233,72;874301,44
"01-14-08";"1_LH";937200,54;869046,65
"01-14-08";"2_PH";937920,97;864383,98
"01-14-08";"3_PD";941675,49;864970,16
"01-14-08";"4_LD";940954,60;869635,80
"01-14-09";"1_LH";937920,97;864383,98
"01-14-09";"2_PH";938641,39;859721,31
"01-14-09";"3_PD";942396,37;860304,52
"01-14-09";"4_LD";941675,49;864970,16
"01-14-10";"1_LH";938641,39;859721,31
"01-14-10";"2_PH";939361,82;855058,64
"01-14-10";"3_PD";943117,25;855638,89
"01-14-10";"4_LD";942396,37;860304,52
"01-14-11";"1_LH";939512,84;878967,07
"01-14-11";"2_PH";940233,72;874301,44
"01-14-11";"3_PD";943987,33;874893,54
"01-14-11";"4_LD";943265,99;879562,15
"01-14-12";"1_LH";940233,72;874301,44
"01-14-12";"2_PH";940954,60;869635,80
"01-14-12";"3_PD";944708,67;870224,94
"01-14-12";"4_LD";943987,33;874893,54
"01-14-13";"1_LH";940954,60;869635,80
"01-14-13";"2_PH";941675,49;864970,16
"01-14-13";"3_PD";945430,01;865556,34
"01-14-13";"4_LD";944708,67;870224,94
"01-14-14";"1_LH";941675,49;864970,16
"01-14-14";"2_PH";942396,37;860304,52
"01-14-14";"3_PD";946151,35;860887,74
"01-14-14";"4_LD";945430,01;865556,34
"01-14-15";"1_LH";942396,37;860304,52
"01-14-15";"2_PH";943117,25;855638,89
"01-14-15";"3_PD";946872,69;856219,14
"01-14-15";"4_LD";946151,35;860887,74
"01-14-16";"1_LH";943265,99;879562,15
"01-14-16";"2_PH";943987,33;874893,54
"01-14-16";"3_PD";947740,93;875485,65
"01-14-16";"4_LD";947019,13;880157,22
"01-14-17";"1_LH";943987,33;874893,54
"01-14-17";"2_PH";944708,67;870224,94
"01-14-17";"3_PD";948462,73;870814,09
"01-14-17";"4_LD";947740,93;875485,65
"01-14-18";"1_LH";944708,67;870224,94
"01-14-18";"2_PH";945430,01;865556,34
"01-14-18";"3_PD";949184,53;866142,52
"01-14-18";"4_LD";948462,73;870814,09
"01-14-19";"1_LH";945430,01;865556,34
